smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,-0.000259971,0.014067,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.136372,6.38698e-16,0.136372,6.38698e-16,-0.0188692,-1.17682
0.169492,1.80502e-15,0.169492,1.80502e-15,0.0369335,-1.31632
-0.0216874,2.15213e-16,-0.0790738,0.00576328,0.0205597,0.682442
-0.154448,9.99701e-16,-0.146019,0.037631,-0.103307,1.44077
0.061057,0.0124965,0.0522622,0.0135808,-0.235325,-0.900538
-0.024398,0.0184094,-0.0293177,0.0338932,0.164316,-0.0116207
0.00594189,0.0153252,0.0108166,0.0201277,-0.148407,0.0517531
-0.00757098,0.0187888,-0.0109364,0.0190762,0.0343261,0.568826
0.00617788,0.0129328,0.00789591,0.0183035,0.0167564,0.547387
-0.0196982,0.0157635,-0.00385738,0.0143568,-0.0110631,-1.39302
0.0153616,0.0124973,0.000949718,0.014057,-0.0732312,-0.636048
-0.0222689,0.0143416,-0.000762199,0.0144652,-0.102081,-1.46902
0.0111198,0.0101349,0.000337993,0.0144899,-0.144349,-0.368956
0.00480039,0.0148936,6.35184e-07,0.0143605,-0.196125,-1.15273
-0.00703058,0.00704275,-0.000362233,0.01336,-0.0676117,-1.44901
0.0142874,0.0103953,4.8533e-05,0.0133899,-0.0133018,-0.588073
-0.00733414,0.0160328,-0.000781033,0.0146258,-0.00989283,-0.764936
0.000396583,0.0204353,0.000647706,0.0142297,-0.0303302,-0.651956
-0.00239057,0.0122496,-0.00117051,0.0136271,-0.184753,1.17635
-0.00582326,0.0122859,-2.19486e-05,0.0132034,-0.128572,0.490434
-0.00608935,0.011867,-0.000419206,0.01347,0.0859668,1.42583
0.00585354,0.0144074,0.000461814,0.0140527,0.115774,0.80897
0.00389441,0.0137318,0.000295501,0.01462,0.137004,0.681583
-0.00300511,0.00819728,-0.000922035,0.0139188,0.0451591,-0.0755687
0.00972476,0.0111407,-0.000121595,0.014219,0.0955777,-0.859603
-0.00345429,0.0128953,-0.000188033,0.0135888,-0.0148969,-0.280765
0.00204771,0.0134751,-0.000812567,0.0142983,0.278718,0.697704
-0.00248017,0.01167,5.63136e-05,0.0140453,0.249017,-0.484702
0.00633141,0.0113704,0.000605356,0.0131496,0.209247,0.512901
0.00430683,0.0166247,6.24695e-05,0.0132537,0.213757,0.824152
0.00689463,0.00813697,0.000515248,0.0137874,0.168524,1.82043
0.00114434,0.0139211,0.000587596,0.0135561,0.197847,0.984204
-0.0140954,0.0156555,-0.000572791,0.013527,0.18767,0.0517895
0.011126,0.010299,0.00106073,0.0143941,0.120158,0.874238
-0.0165746,0.0164392,-0.00123867,0.0143634,0.238062,-1.83404
