smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,-5.05249e-05,0.145072,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.0898069,0.00360625,0.111305,0.0104674,-0.0188692,-1.17682
0.167052,0.00964361,0.160583,0.0041998,0.0369335,-1.31632
-0.101918,0.00751923,-0.1077,0.00687765,0.0205597,0.682442
-0.203808,0.025715,0.197858,0.169256,-0.103307,1.44077
0.106599,0.0668458,0.162309,0.0346723,-0.235325,-0.900538
-0.200971,0.0481401,-0.131897,0.0676428,0.164316,-0.0116207
0.104405,0.0330159,0.0197001,0.108924,-0.148407,0.0517531
-0.19254,0.0495657,-0.084584,0.0872829,0.0343261,0.568826
0.107544,0.124422,0.030667,0.157729,0.0167564,0.547387
-0.132565,0.0213944,-0.0282258,0.105921,-0.0110631,-1.39302
0.322693,0.153004,0.00493547,0.125387,-0.0732312,-0.636048
-0.135642,0.0938544,-0.000310482,0.122329,-0.102081,-1.46902
-0.0597828,0.0555187,-0.00393811,0.136023,-0.144349,-0.368956
-0.109671,0.0539149,-0.00771779,0.136844,-0.196125,-1.15273
-0.0401176,0.0239914,-0.000476093,0.140715,-0.0676117,-1.44901
-0.00198397,0.104171,-0.00562118,0.134257,-0.0133018,-0.588073
0.0470507,0.158389,-0.0116448,0.137211,-0.00989283,-0.764936
0.094454,0.0455559,0.00394064,0.143385,-0.0303302,-0.651956
-0.179898,0.0532888,-0.0103095,0.133943,-0.184753,1.17635
0.0439319,0.0426664,-0.00564272,0.133988,-0.128572,0.490434
-0.105569,0.0532339,-0.0157022,0.141071,0.0859668,1.42583
-0.104478,0.106137,-0.000554429,0.144632,0.115774,0.80897
-0.00937497,0.0709583,-0.00955687,0.143883,0.137004,0.681583
-0.143693,0.154138,-0.00614946,0.137133,0.0451591,-0.0755687
-0.119683,0.0135658,-0.0164369,0.136942,0.0955777,-0.859603
-0.169261,0.0544632,-0.00807592,0.135572,-0.0148969,-0.280765
-0.00820608,0.072024,-0.0111524,0.140095,0.278718,0.697704
-0.0435939,0.0433723,-0.0120606,0.137154,0.249017,-0.484702
0.00556759,0.105874,-0.00948737,0.130422,0.209247,0.512901
0.0242294,0.0911546,0.000221224,0.130649,0.213757,0.824152
-0.188848,0.078754,-0.0131162,0.134383,0.168524,1.82043
-0.0107529,0.110841,-0.00706929,0.140279,0.197847,0.984204
0.0294569,0.0342714,-0.00578625,0.139378,0.18767,0.0517895
-9.668e-05,0.101654,-0.0108288,0.133727,0.120158,0.874238
-0.129904,0.0399134,-0.00317359,0.133938,0.238062,-1.83404
-0.0366012,0.0239316,-0.00792905,0.133134,0.190901,-0.532849
-0.00627407,0.0636952,-0.00152172,0.138734,-0.0896307,-1.59308
-0.00845069,0.058859,0.00721885,0.1401,0.0745986,-0.79002
0.0711414,0.0871934,-0.00924069,0.137542,0.146924,1.76809
0.0560166,0.0382585,0.0119961,0.143966,0.0948112,1.48302
0.110461,0.106023,-0.00678464,0.139646,0.238423,-1.03862
-0.180527,0.100891,-0.006448,0.139914,0.200188,1.30342
0.0897061,0.0688987,0.00174355,0.136129,0.0900624,0.101626
0.0729021,0.0906192,-0.00162749,0.13544,-0.075666,0.0576361
-0.114582,0.0818581,0.00260349,0.134922,-0.00271857,-1.97176
0.113063,0.0751995,-0.00380025,0.134464,0.0538169,0.362259
-0.00620845,0.0893844,0.0048968,0.14227,0.0189139,-1.03211
-0.0216813,0.0395697,-0.00936319,0.141149,-0.079662,-1.56259
-0.0110442,0.0730901,0.00982174,0.137513,-0.150488,-0.968705
0.00577145,0.0379727,-0.00910876,0.144214,-0.275631,-1.08213
0.0122673,0.026836,0.00106035,0.134124,-0.305204,-0.220671
0.0744479,0.0840919,0.00130246,0.139126,-0.255351,-1.86245
-0.216347,0.0820174,-0.00893451,0.133034,-0.486326,-1.22517
0.072245,0.0912972,0.00552022,0.142249,-0.482986,-1.37137
-0.0923579,0.0420879,-0.0053264,0.13185,-0.405762,0.38478
-0.00921322,0.0598505,-0.0059994,0.139548,-0.22874,-0.814609
-0.0241149,0.0328094,-0.00515115,0.140025,0.0162086,-0.942321
0.00543736,0.113865,-0.00724948,0.147155,-0.154837,-0.936362
0.0501202,0.137777,0.00469239,0.135015,-0.27629,-0.428887
0.184125,0.0799099,0.00212097,0.138372,-0.33381,0.380295
-0.148748,0.0250131,-0.00526538,0.142427,-0.255403,-0.906501
0.0667095,0.0438451,0.000403919,0.139579,-0.166276,-0.80324
-0.238854,0.0707191,-0.00946997,0.136686,0.0046161,-0.123818
0.0871168,0.0503227,-0.00622297,0.137574,-0.0512152,-0.291137
-0.196235,0.159557,0.00985629,0.132995,0.0220292,0.392492
0.130295,0.124644,-0.00318613,0.144756,0.021495,1.96505
-0.0209603,0.0604271,0.00911584,0.132804,0.0557154,-0.377731
-0.00500387,0.131286,-0.00198151,0.137867,0.201676,-0.292519
-0.0231638,0.0701668,0.0044945,0.140858,0.117765,0.0485155
-0.0450727,0.225294,-0.00628765,0.142626,0.107586,0.109899
0.0941878,0.0898679,0.00328493,0.13992,0.0795198,-0.279979
-0.143258,0.0971749,-0.00225245,0.135132,0.031837,0.884775
-0.0786346,0.0548333,0.00144603,0.139309,0.0639617,1.25471
-0.00177864,0.0339644,0.00249954,0.138551,-0.0965398,0.307147
0.0241156,0.154062,-0.011716,0.141024,0.0510547,-0.659029
-0.158392,0.12734,-0.00287389,0.137587,-0.178867,-0.959802
-0.0707742,0.0986419,0.000761953,0.137615,-0.168025,0.167939
-0.0738178,0.0608768,0.00476061,0.143738,-0.124691,-1.35265
-0.0443922,0.0684837,-0.0089886,0.138129,-0.0989377,1.09472
0.153547,0.139137,0.0042729,0.131596,0.134733,0.0979228
-0.175173,0.109997,-0.00572889,0.142808,0.0721995,1.00575
0.0864661,0.0779105,0.00045743,0.132651,0.00211792,-1.32936
-0.100593,0.135523,-0.00339223,0.142505,0.0251056,0.280074
0.120484,0.0856821,-0.00111064,0.148154,-0.0516854,1.05304
0.0245797,0.0280484,-0.0073588,0.1443,-0.0567149,1.30568
0.0592144,0.118114,0.00910195,0.139189,-0.223428,0.303686
0.0168271,0.0908272,-0.00500264,0.136666,-0.225154,0.933061
0.176637,0.0688132,-0.00371524,0.138705,-0.296331,-0.0450951
-0.0514481,0.110713,-0.00816646,0.136257,-0.0347843,-0.947809
0.0803338,0.0289207,-0.000105143,0.134812,0.00834573,-0.783505
-0.0317969,0.0519263,-0.0113332,0.144673,-0.00910401,2.12482
0.0193429,0.155892,0.00089156,0.139783,0.0198751,1.02318
0.000486395,0.0502091,-0.00614186,0.132068,0.141575,-0.0332787
0.0804583,0.0765205,-0.00246507,0.142963,-0.0433295,-1.07175
-0.0354656,0.127543,-0.00937753,0.140487,0.0358025,-1.33443
