smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,0.0023009,0.0818377,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.112747,1.8189e-15,0.106985,0.0102953,-0.0188692,-1.17682
0.105112,5.83159e-16,0.148686,0.00797001,0.0369335,-1.31632
-0.118381,4.85966e-16,0.0581888,0.064062,0.0205597,0.682442
-0.186875,1.74948e-15,0.0290407,0.0645828,-0.103307,1.44077
0.0954095,1.29128e-15,0.043307,0.0598649,-0.235325,-0.900538
0.0601691,0.00346655,0.0261082,0.0500612,0.164316,-0.0116207
-0.06823,0.00360939,-0.0426851,0.0544993,-0.148407,0.0517531
-0.0749088,0.00540563,-0.0856226,0.0605078,0.0343261,0.568826
-0.155942,0.00174273,-0.107677,0.0658374,0.0167564,0.547387
-0.103881,0.0029491,-0.0797795,0.0694341,-0.0110631,-1.39302
-0.157019,0.00703234,-0.0707529,0.0731869,-0.0732312,-0.636048
-0.111235,0.000449384,-0.0492883,0.0735544,-0.102081,-1.46902
-0.131015,0.00107019,-0.0417044,0.0754988,-0.144349,-0.368956
-0.1212,0.00195748,-0.0373051,0.0733853,-0.196125,-1.15273
-0.171334,0.00325016,-0.0370861,0.0801348,-0.0676117,-1.44901
-0.109404,0.000468976,-0.0377852,0.0789001,-0.0133018,-0.588073
-0.187909,0.0016478,-0.0347703,0.0786805,-0.00989283,-0.764936
-0.165336,0.00026269,-0.0378856,0.0812901,-0.0303302,-0.651956
-0.126837,0.000461514,-0.0333581,0.0784289,-0.184753,1.17635
-0.133099,0.00467784,-0.0358863,0.0757417,-0.128572,0.490434
-0.137552,0.00443977,-0.0338249,0.0780774,0.0859668,1.42583
-0.145289,0.00224049,-0.0318726,0.0758804,0.115774,0.80897
-0.231317,0.00525742,-0.0341131,0.0766749,0.137004,0.681583
-0.18447,0.000753415,-0.0354024,0.0772743,0.0451591,-0.0755687
-0.129557,0.000196654,-0.0359167,0.0781983,0.0955777,-0.859603
-0.120759,0.00585607,-0.0406843,0.0752405,-0.0148969,-0.280765
-0.131578,0.0031082,-0.0435568,0.0745338,0.278718,0.697704
-0.138084,0.00534621,-0.0469884,0.0758509,0.249017,-0.484702
-0.153471,0.00428424,-0.0488556,0.0759455,0.209247,0.512901
-0.230785,0.00959751,-0.0484648,0.073479,0.213757,0.824152
-0.170075,0.00695338,-0.0440859,0.06878,0.168524,1.82043
-0.102224,0.00740645,-0.0393949,0.0698413,0.197847,0.984204
-0.0761764,0.00713802,-0.0437303,0.0760035,0.18767,0.0517895
0.0238312,0.00102998,-0.0432032,0.0765653,0.120158,0.874238
0.0219418,0.00221611,-0.0336968,0.0747433,0.238062,-1.83404
0.0619333,0.00588027,-0.0297943,0.0722208,0.190901,-0.532849
0.125038,0.00860164,-0.030951,0.0708356,-0.0896307,-1.59308
0.16028,0.00403971,-0.0316694,0.0722376,0.0745986,-0.79002
0.0191707,0.00494297,-0.0256884,0.0769048,0.146924,1.76809
