smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,-0.00320518,0.155523,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.140395,0.000905221,0.111413,0.0112936,-0.0188692,-1.17682
0.160835,0.000845346,0.157562,0.00582679,0.0369335,-1.31632
-0.0961447,0.00331265,-0.0869568,0.0282279,0.0205597,0.682442
-0.2198,0.00304204,0.027957,0.190231,-0.103307,1.44077
0.193128,0.00268548,0.0479842,0.100531,-0.235325,-0.900538
-0.0483859,0.0376637,-0.10623,0.0675455,0.164316,-0.0116207
-0.0455084,0.033926,-0.168192,0.0984689,-0.148407,0.0517531
-0.266572,0.0162259,-0.181763,0.0954026,0.0343261,0.568826
-0.0738096,0.011698,-0.136396,0.138613,0.0167564,0.547387
-0.156314,0.0301024,-0.0660512,0.126439,-0.0110631,-1.39302
-0.239334,0.0125391,-0.0463535,0.137298,-0.0732312,-0.636048
-0.0998374,0.00240668,-0.0153623,0.129235,-0.102081,-1.46902
-0.0286778,0.0125238,-0.0288314,0.134664,-0.144349,-0.368956
-0.140478,0.0171211,-0.0241352,0.130696,-0.196125,-1.15273
-0.124986,0.0192221,-0.0306821,0.147521,-0.0676117,-1.44901
-0.0476196,0.0612157,-0.0209447,0.146931,-0.0133018,-0.588073
-0.137477,0.0255693,-0.0147595,0.142069,-0.00989283,-0.764936
-0.163151,0.0326177,-0.0216456,0.156068,-0.0303302,-0.651956
-0.0808254,0.00963887,-0.0224025,0.146878,-0.184753,1.17635
-0.220872,0.0652242,-0.0158062,0.149157,-0.128572,0.490434
-0.112839,0.0074625,-0.0106132,0.142496,0.0859668,1.42583
-0.103705,0.0685482,-0.00672218,0.145221,0.115774,0.80897
-0.0877824,0.0119099,-0.0161646,0.148928,0.137004,0.681583
-0.0451182,0.0175244,-0.0231603,0.154383,0.0451591,-0.0755687
-0.0919526,0.0115873,-0.0228459,0.146296,0.0955777,-0.859603
