smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,-0.00848532,0.250767,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.138483,2.83249e-15,0.106787,0.0104129,-0.0188692,-1.17682
0.134402,1.52732e-15,0.1383,0.00708804,0.0369335,-1.31632
-0.078973,1.26351e-15,0.0943109,0.0744776,0.0205597,0.682442
-0.180982,0.00148939,0.0321492,0.0918295,-0.103307,1.44077
-0.0424845,0.00285777,-0.0105518,0.080358,-0.235325,-0.900538
-0.0318279,0.000749848,-0.0269997,0.0660457,0.164316,-0.0116207
-0.173657,0.000973206,-0.10257,0.0676014,-0.148407,0.0517531
-0.215961,0.000422506,-0.175834,0.0692295,0.0343261,0.568826
-0.219967,0.00397072,-0.231389,0.0696955,0.0167564,0.547387
-0.252135,0.000682586,-0.214818,0.0799432,-0.0110631,-1.39302
-0.258718,0.000814842,-0.199359,0.0854077,-0.0732312,-0.636048
-0.223845,0.000213898,-0.178793,0.0983051,-0.102081,-1.46902
-0.19626,0.00464717,-0.171868,0.101183,-0.144349,-0.368956
-0.247861,0.00306615,-0.163937,0.104218,-0.196125,-1.15273
-0.286151,0.00247467,-0.149766,0.109053,-0.0676117,-1.44901
-0.277263,0.00424313,-0.140769,0.112367,-0.0133018,-0.588073
-0.301149,0.000148021,-0.144971,0.117121,-0.00989283,-0.764936
-0.294734,0.000153454,-0.147898,0.112807,-0.0303302,-0.651956
-0.174401,0.0059986,-0.146265,0.116548,-0.184753,1.17635
-0.169754,0.00631572,-0.145545,0.1197,-0.128572,0.490434
-0.12441,0.00575048,-0.13661,0.126789,0.0859668,1.42583
-0.0711504,0.00654353,-0.138666,0.126814,0.115774,0.80897
-0.0474967,0.00701843,-0.155296,0.118718,0.137004,0.681583
-0.0593292,0.00857147,-0.16652,0.117004,0.0451591,-0.0755687
-0.0622369,0.00975089,-0.179587,0.121875,0.0955777,-0.859603
-0.104403,0.00541435,-0.194131,0.121524,-0.0148969,-0.280765
-0.133472,0.00384155,-0.203581,0.126546,0.278718,0.697704
-0.0798195,0.00094644,-0.213544,0.123808,0.249017,-0.484702
-0.0964527,0.00128357,-0.225273,0.12056,0.209247,0.512901
-0.107625,0.00573882,-0.225535,0.118188,0.213757,0.824152
-0.158445,0.0029208,-0.221828,0.121514,0.168524,1.82043
-0.0857416,0.00367861,-0.211821,0.128362,0.197847,0.984204
