smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,0.000494649,0.079572,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.121016,0.000336393,0.0977942,0.0124989,-0.0188692,-1.17682
0.0744809,0.000475014,0.0851972,0.00944643,0.0369335,-1.31632
-0.0517233,2.57173e-05,-0.0145648,0.0757883,0.0205597,0.682442
-0.137554,0.0014707,0.000986826,0.0798724,-0.103307,1.44077
-0.0224486,0.00300961,0.0529826,0.0789294,-0.235325,-0.900538
0.150909,0.0148786,-0.043597,0.0750571,0.164316,-0.0116207
-0.0623878,0.00798669,-0.0650291,0.0676039,-0.148407,0.0517531
-0.0818368,0.00668473,-0.0610434,0.0692819,0.0343261,0.568826
-0.128064,0.003669,-0.0153276,0.0780629,0.0167564,0.547387
0.00050977,0.0108793,-0.0180207,0.0678667,-0.0110631,-1.39302
-0.0269485,0.00872635,-0.00424244,0.0779157,-0.0732312,-0.636048
-0.0649655,0.0045045,-0.0079981,0.0741737,-0.102081,-1.46902
-0.0821454,0.00155637,-0.00171602,0.0744979,-0.144349,-0.368956
-0.0621128,0.00519227,-0.00320852,0.0805082,-0.196125,-1.15273
-0.141105,0.00204071,0.00165666,0.0784217,-0.0676117,-1.44901
0.0989586,0.00869053,-0.00089921,0.0761269,-0.0133018,-0.588073
-0.0547521,0.00237957,-0.000446443,0.078361,-0.00989283,-0.764936
-0.0808479,0.000398463,-0.00792683,0.0775787,-0.0303302,-0.651956
-0.121482,0.00398538,-0.000705679,0.0756221,-0.184753,1.17635
-0.0148938,0.00128009,-0.00764335,0.075141,-0.128572,0.490434
-0.07121,0.000307552,-0.00998857,0.0774926,0.0859668,1.42583
-0.0539827,0.000499596,0.00394321,0.0793152,0.115774,0.80897
-0.0935522,0.00148765,-0.00195409,0.0784816,0.137004,0.681583
0.0318679,0.00743571,-0.00314226,0.0769043,0.0451591,-0.0755687
-0.0679328,0.000862066,0.00104347,0.076216,0.0955777,-0.859603
-0.00748732,0.00399996,0.00241305,0.0794455,-0.0148969,-0.280765
-0.114085,0.00076452,-0.0037249,0.0780277,0.278718,0.697704
-0.0340976,0.00172821,-0.00125397,0.0758844,0.249017,-0.484702
-0.0933782,0.00338255,-0.00230459,0.0770183,0.209247,0.512901
-0.0172831,0.000299957,-0.00394231,0.0812926,0.213757,0.824152
-0.107523,0.00494683,-0.00773598,0.0727136,0.168524,1.82043
-0.117305,0.00459286,-0.000330754,0.0805114,0.197847,0.984204
0.032072,0.00231705,-0.00223711,0.0741175,0.18767,0.0517895
-0.0591496,0.00103958,-0.0086551,0.0757142,0.120158,0.874238
0.058879,0.00241923,-0.00357445,0.0749538,0.238062,-1.83404
-0.0810814,0.00376979,-0.00142812,0.0736459,0.190901,-0.532849
0.0779653,0.0031456,0.000480914,0.0785482,-0.0896307,-1.59308
0.0645917,0.00264274,-0.00432512,0.0778523,0.0745986,-0.79002
-0.033693,0.000701628,0.00275522,0.0835178,0.146924,1.76809
-0.0921643,0.00435921,-0.00500677,0.0813145,0.0948112,1.48302
0.0352205,0.00393812,0.00224979,0.0795318,0.238423,-1.03862
-0.0491575,0.000337025,-0.00111244,0.0783009,0.200188,1.30342
-0.0587899,0.000391096,-0.00497177,0.0784478,0.0900624,0.101626
0.00180146,0.000552563,-0.000641466,0.0777541,-0.075666,0.0576361
-0.037175,0.00126101,-0.000264119,0.0796467,-0.00271857,-1.97176
0.132209,0.00543803,-0.00130551,0.0782271,0.0538169,0.362259
-0.106097,0.00480729,0.00758947,0.0813516,0.0189139,-1.03211
0.0139726,0.00217256,-0.00153878,0.0809093,-0.079662,-1.56259
-0.0819489,0.00241344,-0.00220097,0.0783246,-0.150488,-0.968705
0.0186811,0.00240927,-0.000185951,0.0772097,-0.275631,-1.08213
-0.0404696,0.000777937,-0.00239563,0.0801587,-0.305204,-0.220671
-0.150707,0.00763684,-0.000426831,0.0791351,-0.255351,-1.86245
-0.0138837,0.000429341,0.00417374,0.074033,-0.486326,-1.22517
-0.0740425,0.00307962,-0.000149457,0.079143,-0.482986,-1.37137
0.0304442,0.00112521,-0.00535607,0.080659,-0.405762,0.38478
-0.152112,0.0064786,-0.00259358,0.0785156,-0.22874,-0.814609
-0.129348,0.00471589,-0.00363436,0.0785574,0.0162086,-0.942321
0.0255471,0.00145707,0.00215309,0.0791822,-0.154837,-0.936362
0.0798365,0.00417033,-0.00834964,0.0753107,-0.27629,-0.428887
0.022888,0.00301153,0.00576075,0.079001,-0.33381,0.380295
-0.0232114,0.000284674,-0.00411697,0.077371,-0.255403,-0.906501
-0.0201412,0.000493715,0.00153849,0.0773299,-0.166276,-0.80324
0.0820182,0.00428615,0.00179617,0.0780829,0.0046161,-0.123818
-0.0493636,1.39652e-05,0.00212843,0.080829,-0.0512152,-0.291137
-0.065005,0.000168279,-0.000143152,0.0778384,0.0220292,0.392492
0.0518852,0.00435837,0.00137923,0.0764103,0.021495,1.96505
0.0039238,0.00138936,0.00284191,0.082906,0.0557154,-0.377731
