smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
-0.0598962,0.148728,-0.0462176,0.331468,-0.00910401,2.12482
-0.0481008,0.0441887,-0.0379415,0.334461,0.0198751,1.02318
-0.376148,0.135036,-0.0423836,0.328879,0.141575,-0.0332787
-0.418081,0.179955,-0.0671553,0.317722,-0.0433295,-1.07175
-0.465598,0.26773,-0.0386051,0.30677,0.0358025,-1.33443
-0.467209,0.122551,-0.0418747,0.328962,-0.0118581,1.66128
-0.314181,0.14242,-0.0436996,0.328151,-0.0582616,0.323392
-0.211343,0.178267,-0.0660006,0.326042,-0.0983207,0.108078
-0.198328,0.133755,-0.0649889,0.339901,-0.103963,0.656651
0.0529893,0.103389,-0.0797482,0.328702,-0.0407505,-0.948601
0.085033,0.130417,-0.0838992,0.314039,-0.216133,-0.157179
0.164883,0.122346,-0.0910689,0.32713,-0.227351,-0.169665
0.382484,0.013288,-0.0965541,0.314513,-0.133866,0.900801
0.250646,0.0229621,-0.119764,0.314883,-0.0500754,0.782704
0.473196,0.111407,-0.092518,0.346555,0.18,2.94816
0.715285,0.252143,0.00293096,0.368625,0.146226,2.91402
0.737753,0.126521,0.123305,0.377156,0.192742,3.33838
0.733821,0.0358481,0.206596,0.364896,0.138273,3.20052
0.947153,0.0114279,0.288177,0.366502,0.140516,-1.72628
0.951223,0.0337702,0.373043,0.358377,0.369856,-1.36787
0.78863,0.124704,0.429798,0.328643,0.415582,-2.67217
0.888597,0.132475,0.443919,0.290556,0.45292,-0.207009
0.555098,0.105721,0.412933,0.286018,0.00170791,0.29112
0.387125,0.162949,0.373596,0.282838,0.0631444,-0.450888
0.192708,0.252714,0.321834,0.290314,-0.0433842,-1.05693
0.0931885,0.282465,0.2762,0.303336,-0.0683032,-2.4809
0.0614746,0.268325,0.240178,0.295355,0.0695874,-1.96512
-0.206706,0.332041,0.186802,0.303293,0.091269,0.0207291
-0.033198,0.133833,0.153264,0.301769,0.0134781,-0.799496
0.110363,0.116007,0.132815,0.299817,0.000977884,1.51829
-0.0638568,0.215174,0.143398,0.299707,-0.0679666,-1.09051
-0.0807341,0.309951,0.118249,0.308162,-0.0487199,0.581776
-0.0913467,0.158652,0.124726,0.304568,-0.0266718,0.341322
-0.245449,0.16148,0.0835196,0.306844,-0.0974045,1.15004
-0.189577,0.216418,0.0519897,0.30731,0.0216417,-0.10136
-0.198539,0.231982,0.0400046,0.325484,0.133567,-0.561533
-0.157002,0.128136,0.0353192,0.336417,0.0745892,-1.01616
-0.0980517,0.135943,-0.0098637,0.322346,0.0236433,-0.853135
0.0492164,0.101923,-0.00610507,0.317408,0.0428475,-0.304476
-0.0242543,0.118183,-0.0303516,0.314876,0.0614014,0.423074
-0.172591,0.123852,-0.0539163,0.300929,0.0774576,-0.995355
-0.287735,0.188635,-0.0649479,0.31379,0.0383912,-0.931657
-0.228054,0.120451,-0.0730137,0.312685,0.0702326,0.602524
-0.00782242,0.0522232,-0.074662,0.318029,0.155849,-1.92956
-0.191647,0.17513,-0.0841359,0.31781,0.0775271,-0.469635
-0.19971,0.209091,-0.0828154,0.329807,-0.0821118,-0.179356
-0.178276,0.139817,-0.0774133,0.313604,-0.201215,1.04719
-0.207297,0.183627,-0.0704084,0.304818,-0.125595,1.18882
-0.124277,0.127461,-0.0717813,0.317864,-0.0327799,-0.243489
-0.0390422,0.204742,-0.06372,0.317591,0.0150861,0.469455
0.0682385,0.333483,-0.0689079,0.319806,0.075968,-1.31886
0.0501239,0.283491,-0.0464371,0.316226,-0.0123007,0.17428
0.0510916,0.249494,-0.0574198,0.317808,0.0623542,1.36895
0.211185,0.38401,-0.0451807,0.312847,0.115124,-0.979567
0.0900165,0.26333,-0.0503245,0.304992,0.247469,0.375085
0.0677357,0.202273,-0.0452663,0.312698,0.20076,0.0171621
0.0750572,0.226366,-0.0466512,0.321562,0.361733,-0.334249
0.081057,0.228695,-0.0715797,0.311605,0.32511,-0.565698
0.0515612,0.315836,-0.0519501,0.328603,0.150502,1.07905
-0.108561,0.180168,-0.0603553,0.32451,0.128228,-0.707724
-0.0839724,0.254364,-0.0486239,0.335448,0.175599,1.78324
0.223245,0.310767,-0.046197,0.345129,0.202815,1.55447
0.195941,0.345942,-0.0462925,0.326773,0.0435957,0.898708
0.147773,0.31275,-0.0598966,0.338684,-0.0507649,1.04483
0.32923,0.276313,-0.0481954,0.338223,-0.0485263,0.56987
0.295908,0.170592,-0.0482106,0.324549,0.227487,0.899392
0.471476,0.203913,-0.0518007,0.335693,0.228747,1.62419
0.442941,0.158555,-0.0449623,0.333008,0.222375,-0.418094
0.552473,0.0992829,-0.0211876,0.335509,0.388095,1.01681
0.506648,0.101591,-0.01008,0.360031,0.430201,-1.21591
0.240269,0.141948,0.0301539,0.343794,0.470283,-2.35927
0.223151,0.0990331,0.040011,0.360544,0.382635,0.890498
0.156333,0.119813,0.0664788,0.349612,0.203989,-1.15374
0.0937944,0.155394,0.0683718,0.355986,0.125727,-1.70076
-0.0975004,0.267707,0.0777597,0.349041,0.00827661,-0.851777
-0.166434,0.372635,0.0614568,0.340659,0.0659871,0.254887
-0.332281,0.423763,0.0560365,0.352587,0.13944,1.21379
-0.41295,0.493327,0.0476698,0.349847,0.134313,0.135174
-0.516971,0.615643,0.0189239,0.331674,0.137162,0.245267
-0.682546,0.594238,0.0234439,0.34463,0.107728,0.947088
-0.551236,0.422145,0.0158136,0.341522,0.316122,2.46056
-0.395948,0.336003,0.0115772,0.335858,0.367109,1.71341
-0.28934,0.121184,0.00423566,0.335176,0.417385,0.58775
-0.442737,0.0815074,-0.00915694,0.333477,0.27599,-0.0675497
-0.146998,0.124952,-0.0319699,0.329108,0.281277,-0.391638
-0.182628,0.123402,-0.022189,0.325403,0.217876,-1.77535
-0.0902766,0.221676,-0.0186875,0.343274,0.171069,-1.12385
-0.10518,0.259558,-0.0370468,0.33502,0.139621,-0.0191911
-0.126751,0.252054,-0.0531374,0.334543,0.204822,-0.505529
