smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,0.0185667,1.18955,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.133536,1.11078e-15,0.106989,0.0114166,-0.0188692,-1.17682
0.157944,1.33293e-15,0.136156,0.0069224,0.0369335,-1.31632
-0.0578662,1.25657e-15,0.114046,0.0664911,0.0205597,0.682442
-0.141983,1.02747e-15,0.0865886,0.0963222,-0.103307,1.44077
0.0790357,1.44401e-15,0.067088,0.070794,-0.235325,-0.900538
-0.00476938,0.00192419,0.0230077,0.0595994,0.164316,-0.0116207
-0.0362276,0.00263462,-0.0843055,0.0757482,-0.148407,0.0517531
-0.0981899,0.00391259,-0.175667,0.0724272,0.0343261,0.568826
-0.131105,0.00259028,-0.245777,0.0761879,0.0167564,0.547387
-0.144409,7.70175e-05,-0.228452,0.0891623,-0.0110631,-1.39302
-0.0873916,0.000803321,-0.224563,0.102328,-0.0732312,-0.636048
-0.130608,0.00314218,-0.202157,0.113455,-0.102081,-1.46902
-0.153675,0.00216306,-0.200964,0.117471,-0.144349,-0.368956
-0.178287,0.00180846,-0.207117,0.123709,-0.196125,-1.15273
-0.204888,0.000517117,-0.209156,0.131219,-0.0676117,-1.44901
-0.289896,0.00551503,-0.214064,0.137866,-0.0133018,-0.588073
-0.208528,0.000618467,-0.21862,0.141633,-0.00989283,-0.764936
-0.225206,0.000529946,-0.224963,0.140017,-0.0303302,-0.651956
-0.240513,0.00193023,-0.222669,0.147642,-0.184753,1.17635
-0.274147,0.00101594,-0.224297,0.15557,-0.128572,0.490434
-0.275286,0.000418602,-0.217853,0.153979,0.0859668,1.42583
-0.280578,0.00333467,-0.222819,0.158111,0.115774,0.80897
-0.31654,0.000819285,-0.235372,0.157866,0.137004,0.681583
-0.383602,0.0103857,-0.256656,0.151274,0.0451591,-0.0755687
-0.353997,0.00620272,-0.273694,0.148363,0.0955777,-0.859603
-0.391927,0.0110805,-0.288717,0.154707,-0.0148969,-0.280765
-0.448524,0.0185477,-0.314809,0.155574,0.278718,0.697704
-0.404677,0.0201109,-0.334139,0.14592,0.249017,-0.484702
-0.326169,0.0162141,-0.348414,0.147438,0.209247,0.512901
-0.239681,0.0148478,-0.356042,0.149661,0.213757,0.824152
-0.133319,0.00921304,-0.345015,0.152306,0.168524,1.82043
-0.143431,0.0100791,-0.34997,0.158357,0.197847,0.984204
-0.183853,0.0105765,-0.347302,0.162114,0.18767,0.0517895
-0.0969603,0.00438275,-0.3353,0.162909,0.120158,0.874238
0.0325973,0.00614529,-0.307524,0.174299,0.238062,-1.83404
0.133546,0.00643792,-0.28799,0.182834,0.190901,-0.532849
0.182954,0.00664964,-0.279256,0.183264,-0.0896307,-1.59308
0.231743,0.00843988,-0.267739,0.181847,0.0745986,-0.79002
0.151972,0.00499843,-0.244736,0.192195,0.146924,1.76809
0.104944,0.00473849,-0.211204,0.205139,0.0948112,1.48302
0.15248,0.00317168,-0.149835,0.216292,0.238423,-1.03862
0.132882,0.0024261,-0.0800908,0.234776,0.200188,1.30342
0.159405,0.00357364,0.0126308,0.23487,0.0900624,0.101626
0.194734,0.00249703,0.0673194,0.226509,-0.075666,0.0576361
0.139494,0.000391558,0.104887,0.22098,-0.00271857,-1.97176
0.0914929,0.000386037,0.169197,0.205148,0.0538169,0.362259
0.00976378,0.00599777,0.202083,0.197235,0.0189139,-1.03211
0.0356426,0.000376462,0.236251,0.183426,-0.079662,-1.56259
0.0413681,0.000935882,0.255539,0.17436,-0.150488,-0.968705
0.0885505,0.00103652,0.254111,0.169353,-0.275631,-1.08213
0.103345,0.00588953,0.237494,0.175121,-0.305204,-0.220671
0.163367,0.0119157,0.218228,0.1746,-0.255351,-1.86245
0.111464,0.0062801,0.210275,0.175416,-0.486326,-1.22517
0.0201543,0.00796646,0.204386,0.170249,-0.482986,-1.37137
-0.00151537,0.00882835,0.196822,0.170717,-0.405762,0.38478
0.0393993,0.00809807,0.177876,0.172307,-0.22874,-0.814609
-0.086601,0.000104178,0.168973,0.176539,0.0162086,-0.942321
-0.100774,0.00389194,0.156934,0.179794,-0.154837,-0.936362
-0.173248,0.00833106,0.132151,0.181239,-0.27629,-0.428887
-0.192774,0.00945226,0.104346,0.181131,-0.33381,0.380295
-0.20728,0.0106397,0.0751796,0.187101,-0.255403,-0.906501
-0.214586,0.00855203,0.0454981,0.185795,-0.166276,-0.80324
-0.216579,0.00631586,-0.00482306,0.199124,0.0046161,-0.123818
-0.0833411,0.0042973,-0.039182,0.1994,-0.0512152,-0.291137
-0.0421458,0.00597187,-0.0871006,0.203542,0.0220292,0.392492
-0.14675,0.000516493,-0.113164,0.199713,0.021495,1.96505
-0.207029,0.00170292,-0.1243,0.197444,0.0557154,-0.377731
-0.180031,0.000935106,-0.138443,0.194107,0.201676,-0.292519
-0.202227,9.43472e-06,-0.159085,0.19781,0.117765,0.0485155
-0.149431,0.000695667,-0.181906,0.200657,0.107586,0.109899
-0.130847,0.00365074,-0.197969,0.204391,0.0795198,-0.279979
-0.0705942,0.00319065,-0.230541,0.207905,0.031837,0.884775
-0.0961219,0.00363861,-0.241563,0.213737,0.0639617,1.25471
-0.136871,0.000546375,-0.272453,0.211227,-0.0965398,0.307147
-0.147294,0.00289475,-0.292879,0.204787,0.0510547,-0.659029
-0.301382,0.00580979,-0.324519,0.210301,-0.178867,-0.959802
-0.320292,0.00739889,-0.353398,0.209499,-0.168025,0.167939
-0.319834,0.0088714,-0.369111,0.206209,-0.124691,-1.35265
-0.346927,0.00958294,-0.37965,0.203577,-0.0989377,1.09472
-0.26915,0.00762451,-0.372324,0.203204,0.134733,0.0979228
-0.267658,0.0113903,-0.368864,0.211624,0.0721995,1.00575
-0.271704,0.0111929,-0.354727,0.221196,0.00211792,-1.32936
-0.24333,0.00807954,-0.344482,0.224736,0.0251056,0.280074
-0.219813,0.00922054,-0.319108,0.224236,-0.0516854,1.05304
-0.144749,0.00917421,-0.293383,0.231242,-0.0567149,1.30568
-0.172582,0.00984391,-0.269585,0.228076,-0.223428,0.303686
-0.146059,0.00544488,-0.255884,0.224028,-0.225154,0.933061
-0.153429,0.00461524,-0.230646,0.211981,-0.296331,-0.0450951
-0.184594,0.0118038,-0.230369,0.204746,-0.0347843,-0.947809
-0.140828,0.00913022,-0.233864,0.211167,0.00834573,-0.783505
-0.0786823,0.00760864,-0.238915,0.219444,-0.00910401,2.12482
-0.0421452,0.00192835,-0.22087,0.225802,0.0198751,1.02318
0.0750514,0.00288883,-0.206172,0.217957,0.141575,-0.0332787
0.0591969,0.00128701,-0.210835,0.220201,-0.0433295,-1.07175
0.152619,0.00876031,-0.203437,0.217914,0.0358025,-1.33443
0.240094,0.00724916,-0.181365,0.220562,-0.0118581,1.66128
0.268116,0.00697847,-0.166673,0.228034,-0.0582616,0.323392
