smooth_mean, smooth_sdev, filter_mean, filter_sdev, x, y
0.107102,1.08301e-15,0.00447811,0.179648,0.107102,1.42079
0.0590303,5.13735e-16,0.0590303,5.13735e-16,0.0590303,-0.81585
0.137077,2.49925e-16,0.109246,0.0118266,-0.0188692,-1.17682
0.163563,4.9985e-16,0.132383,0.00779292,0.0369335,-1.31632
-0.135588,1.74948e-15,-0.0577541,0.0973624,0.0205597,0.682442
-0.183257,1.9994e-15,0.149335,0.162754,-0.103307,1.44077
0.243382,2.97133e-15,0.0804984,0.181833,-0.235325,-0.900538
-0.137376,1.91609e-15,-0.0642016,0.161191,0.164316,-0.0116207
-0.183702,3.19349e-15,-0.214175,0.103181,-0.148407,0.0517531
-0.418008,4.94296e-15,-0.237412,0.106005,0.0343261,0.568826
-0.127868,2.13825e-15,-0.182928,0.147543,0.0167564,0.547387
-0.120915,6.80352e-16,-0.0898191,0.136971,-0.0110631,-1.39302
-0.116415,1.40236e-15,-0.0593889,0.152977,-0.0732312,-0.636048
-0.0265351,1.97857e-16,-0.0323834,0.151697,-0.102081,-1.46902
-0.272632,4.38758e-15,-0.0332941,0.163788,-0.144349,-0.368956
-0.29734,1.33293e-15,-0.0284334,0.158414,-0.196125,-1.15273
-0.114969,5.55389e-17,-0.0135608,0.161593,-0.0676117,-1.44901
-0.0192282,9.71931e-17,-0.0302355,0.168382,-0.0133018,-0.588073
0.0996844,1.12466e-15,-0.0325642,0.173912,-0.00989283,-0.764936
-0.0730902,3.33234e-16,-0.0470522,0.167309,-0.0303302,-0.651956
-0.306308,5.05404e-15,-0.0666752,0.165729,-0.184753,1.17635
-0.247382,3.11018e-15,-0.04512,0.170544,-0.128572,0.490434
-0.126663,3.33234e-15,-0.046241,0.172128,0.0859668,1.42583
0.111354,4.30427e-16,-0.0452703,0.176386,0.115774,0.80897
-0.178744,2.13825e-15,-0.0532571,0.17071,0.137004,0.681583
-0.0688397,1.12466e-15,-0.0432037,0.166967,0.0451591,-0.0755687
-0.140582,4.44311e-16,-0.0614401,0.16093,0.0955777,-0.859603
-0.225128,1.47178e-15,-0.0537299,0.167665,-0.0148969,-0.280765
-0.289921,9.99701e-16,-0.045642,0.175851,0.278718,0.697704
0.0766021,4.9985e-16,-0.0507887,0.173531,0.249017,-0.484702
0.0440037,3.74888e-16,-0.0463897,0.170143,0.209247,0.512901
-0.23426,5.33174e-15,-0.056378,0.164741,0.213757,0.824152
-0.273681,3.16572e-15,-0.0576886,0.160723,0.168524,1.82043
-0.186843,3.72111e-15,-0.0403756,0.170255,0.197847,0.984204
-0.159077,1.08301e-15,-0.0421172,0.17234,0.18767,0.0517895
0.0885628,1.48567e-15,-0.0334953,0.170783,0.120158,0.874238
-0.120982,1.49955e-15,-0.019399,0.172444,0.238062,-1.83404
0.162444,1.80502e-15,-0.0144615,0.17411,0.190901,-0.532849
0.186176,3.24903e-15,-0.00902924,0.176825,-0.0896307,-1.59308
0.198047,4.6375e-15,-0.0274124,0.172577,0.0745986,-0.79002
0.058912,6.94237e-16,-0.0213736,0.178066,0.146924,1.76809
0.306844,3.83219e-15,-0.00498517,0.182583,0.0948112,1.48302
0.120186,1.94386e-16,0.00637555,0.18379,0.238423,-1.03862
-0.00277994,3.86169e-17,0.0135898,0.167064,0.200188,1.30342
0.0302159,6.49111e-16,0.0024503,0.171903,0.0900624,0.101626
-0.11048,1.48567e-15,-0.00596423,0.173368,-0.075666,0.0576361
-0.244024,3.47118e-15,-0.00613707,0.182099,-0.00271857,-1.97176
0.0934497,1.13855e-15,0.00321396,0.179408,0.0538169,0.362259
0.0130544,7.28948e-17,0.0139778,0.177857,0.0189139,-1.03211
0.154062,1.9994e-15,0.0163245,0.168376,-0.079662,-1.56259
0.00299095,4.81627e-17,0.0350253,0.169015,-0.150488,-0.968705
-0.0222015,2.32569e-16,0.0274238,0.187109,-0.275631,-1.08213
