smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
-0.0159171,1.83973e-16,-0.0159171,1.83973e-16,0.0205427
-0.0071927,1.05871e-16,-0.0071927,1.05871e-16,0.00484101
-0.00283013,3.86169e-17,-0.00283013,3.86169e-17,0.0139068
-0.00270016,1.12813e-17,-0.00270016,1.12813e-17,-0.0040537
-0.000696409,1.30169e-18,-0.000696409,1.30169e-18,-0.00563336
-0.00106389,1.23661e-17,-0.00106389,1.23661e-17,-0.0144366
-0.000316322,2.54915e-18,-0.000316322,2.54915e-18,-0.0174027
0.000540253,7.37626e-18,0.000540253,7.37626e-18,-0.00243902
-0.722424,1.25518e-14,-0.722424,1.25518e-14,0.00276047
-0.340427,0.0762634,-0.318554,0.0860035,0.00607168
-0.164779,0.108231,-0.139088,0.1016,0.0129179
-0.0869874,0.112415,-0.0551607,0.0987463,0.0180259
-0.0295974,0.102408,-0.0242132,0.0957011,-0.000599232
-0.0304159,0.103487,-0.00859953,0.0914155,0.010306
0.0433212,0.111233,-0.00340117,0.0893887,0.00840098
-0.00575782,0.0667632,0.00668841,0.0962771,-0.00485912
0.0153447,0.0852677,-0.0011266,0.0964421,-0.000816411
-0.00219214,0.0796977,0.00327898,0.0996704,-0.00548861
0.0552553,0.0870373,-0.000736646,0.0936878,-0.00751744
0.00552624,0.0752068,-0.000388665,0.101317,-0.00183657
0.00787849,0.0716881,0.00566598,0.0938341,0.000672303
0.0383236,0.0637708,-0.000998106,0.098048,0.00269851
0.105441,0.086561,0.00138391,0.0955054,0.0101171
0.0304668,0.0733023,0.000746406,0.0950498,0.0010311
-0.0254011,0.0627951,0.000139134,0.092511,-0.00963108
-0.00369444,0.101207,0.00513058,0.0980071,-0.00816763
0.00848592,0.0856552,0.00770838,0.0948554,-0.0236149
0.0255593,0.0988228,0.0050264,0.0912465,-0.0112052
0.019992,0.0638315,0.000983776,0.10182,-0.0154869
0.0336335,0.0787549,-0.000268824,0.0955227,-0.00491896
-0.0117255,0.0636687,0.00323553,0.096224,-0.00531722
-0.0160869,0.0889583,-0.000178882,0.101259,-0.0234281
-0.0101908,0.098114,-0.00206529,0.101376,-0.00734165
-0.0813556,0.119041,-0.0126406,0.0980255,-0.00366733
-0.0345981,0.101852,-0.00125803,0.0950893,-0.0113691
-0.0153595,0.0902211,0.0070471,0.0945345,-0.0230119
0.00252478,0.0807769,0.00548734,0.0940213,-0.0287863
-0.0177545,0.064242,0.00619053,0.0938615,-0.0253326
-0.00266018,0.0864659,0.00881481,0.092751,-0.012535
