smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
-0.0159171,1.83973e-16,-0.0159171,1.83973e-16,0.0205427
-0.0071927,1.05871e-16,-0.0071927,1.05871e-16,0.00484101
-0.00283013,3.86169e-17,-0.00283013,3.86169e-17,0.0139068
-0.00270016,1.12813e-17,-0.00270016,1.12813e-17,-0.0040537
-0.000696409,1.30169e-18,-0.000696409,1.30169e-18,-0.00563336
-0.00106389,1.23661e-17,-0.00106389,1.23661e-17,-0.0144366
-0.000316322,2.54915e-18,-0.000316322,2.54915e-18,-0.0174027
0.000540253,7.37626e-18,0.000540253,7.37626e-18,-0.00243902
-0.722424,1.25518e-14,-0.722424,1.25518e-14,0.00276047
0.39634,0.0604452,0.33127,0.0418092,0.00607168
-0.199699,0.0612596,-0.148362,0.0453137,0.0129179
0.0746789,0.0402201,0.0670914,0.0484562,0.0180259
-0.0145279,0.0463875,-0.0299415,0.0473021,-0.000599232
-0.0202409,0.0216122,0.0144648,0.0474882,0.010306
0.000505492,0.0254058,-0.00450887,0.0498453,0.00840098
-0.0164448,0.080666,0.00189957,0.0484596,-0.00485912
-0.0153228,0.0605171,0.00129214,0.0454689,-0.000816411
0.0025027,0.0367028,-0.0011623,0.0484926,-0.00548861
-0.013166,0.0238143,-0.0004844,0.0505084,-0.00751744
0.0252618,0.0306105,0.00117253,0.0476756,-0.00183657
-0.093524,0.0577442,-0.00324072,0.0481048,0.000672303
0.0170177,0.0331147,0.00366081,0.0498991,0.00269851
-0.00756316,0.0244584,-0.00102265,0.0499344,0.0101171
-0.00442714,0.0267479,0.000977467,0.0495025,0.0010311
0.00983086,0.0398519,-0.00107216,0.0491166,-0.00963108
0.0148126,0.0277762,-0.00183646,0.0498622,-0.00816763
-0.0391207,0.0459293,0.00253927,0.0497137,-0.0236149
0.002349,0.0369869,-0.00113731,0.0490469,-0.0112052
-0.00169166,0.0389261,0.00208262,0.0470967,-0.0154869
0.00277089,0.028488,0.00225212,0.0461013,-0.00491896
0.0129142,0.0428863,-0.00252638,0.0474856,-0.00531722
0.0151751,0.0290844,0.00284841,0.0481537,-0.0234281
0.00976674,0.0263251,0.00318403,0.0487978,-0.00734165
-0.0289441,0.0724313,0.000901273,0.0481541,-0.00366733
0.0694869,0.054036,-0.00203683,0.0479901,-0.0113691
-0.00895354,0.0440449,-0.00180703,0.0493457,-0.0230119
-0.0380982,0.0273487,0.00267906,0.0501796,-0.0287863
-0.0120295,0.0347557,0.002076,0.046531,-0.0253326
-0.0198829,0.0286153,0.000965128,0.050614,-0.012535
