smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
-0.0159171,1.83973e-16,-0.0159171,1.83973e-16,0.0205427
-0.024448,0.0753825,-0.0109881,0.0724851,0.00484101
-0.0386014,0.0601446,-0.0010115,0.0740403,0.0139068
-0.0146836,0.0241429,-0.00081032,0.0810032,-0.0040537
-0.0188408,0.0588691,-0.00422596,0.0793214,-0.00563336
0.0267569,0.0565667,0.00653372,0.0798281,-0.0144366
-0.0385922,0.0455382,0.00664031,0.0811143,-0.0174027
0.0429289,0.0968696,0.00295754,0.0768984,-0.00243902
0.0193384,0.0529241,0.0011804,0.0789911,0.00276047
0.0224443,0.0508651,-0.000171005,0.0831238,0.00607168
-0.061469,0.0934971,-0.00532732,0.0823009,0.0129179
-0.00563176,0.0408722,-0.00683845,0.0794902,0.0180259
-0.0317401,0.041894,-0.00357783,0.0806426,-0.000599232
-0.012376,0.0655343,-0.00537186,0.077594,0.010306
-0.00623432,0.0912863,0.00244159,0.0774877,0.00840098
-0.0616018,0.0714678,0.000407874,0.0791407,-0.00485912
-0.0899103,0.0781318,-0.000659132,0.0773705,-0.000816411
-0.0676537,0.0853134,0.000768379,0.0755651,-0.00548861
-0.0359961,0.13327,-0.00631632,0.0788369,-0.00751744
-0.0151705,0.0649817,-0.00207914,0.0783843,-0.00183657
0.00678859,0.0490822,-0.00532212,0.0807375,0.000672303
0.0132076,0.0706723,-0.00142183,0.078132,0.00269851
-0.0275132,0.0712353,-0.0036806,0.0775391,0.0101171
0.00664757,0.0847309,0.000809942,0.0732464,0.0010311
0.00696649,0.100103,0.000994508,0.0771704,-0.00963108
0.0408048,0.0885994,0.00155183,0.0802663,-0.00816763
-0.0150433,0.0539613,-0.00291337,0.0817271,-0.0236149
-0.039637,0.10687,-0.00374272,0.0823564,-0.0112052
-0.0281619,0.106343,0.00216929,0.0787139,-0.0154869
-0.00435823,0.0810207,0.00281715,0.0792188,-0.00491896
0.0557765,0.0668613,0.00231347,0.0790571,-0.00531722
0.0628203,0.0670216,-0.001138,0.0768247,-0.0234281
0.0536452,0.0335664,0.00636398,0.0739498,-0.00734165
-0.0174822,0.0421316,0.0066191,0.0764949,-0.00366733
0.0109335,0.111773,0.00106582,0.0783518,-0.0113691
-0.0275553,0.0482725,-0.00100288,0.0787634,-0.0230119
0.023795,0.0689128,0.00222008,0.0781394,-0.0287863
-0.0305136,0.0441326,0.00431414,0.0789174,-0.0253326
-0.000173551,0.0852576,-0.00584041,0.0820585,-0.012535
-0.016466,0.0708638,-0.00405074,0.0799359,-0.0168843
-0.0282911,0.0708072,-0.00789345,0.0789195,-0.0168627
0.00249999,0.0825253,-0.00545203,0.076372,-0.0079312
0.0232069,0.0822327,-0.000306906,0.0807274,-0.0106434
-0.0458998,0.0653392,-0.00270532,0.0826552,-0.0246617
-0.0516117,0.0422862,-0.00415272,0.0810698,-0.0153521
0.0129867,0.0940398,-0.00528975,0.0782204,0.0101904
0.0681836,0.0704645,-0.00228239,0.0768346,0.0168273
0.0508114,0.0468716,-0.00570178,0.0793033,0.0132635
-0.00679999,0.0722816,-0.00250512,0.0792183,0.03179
-0.0628935,0.0544509,0.0064316,0.082187,0.0270782
-0.0600988,0.0807909,-0.00135615,0.0868082,0.0263415
-0.056482,0.0784302,-0.00240409,0.0768765,0.0260812
-0.0328339,0.0763294,-0.00336772,0.0757577,0.0219005
