smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
0.384389,1.66617e-15,0.00158631,0.0133428,0.0171407
0.35539,4.83189e-15,0.35539,4.83189e-15,0.00259957
0.352649,0.000590719,0.352689,0.000628907,0.0157893
0.349989,0.000961964,0.350013,0.00088929,0.0211617
0.347789,0.00101146,0.347398,0.00110072,0.00468554
0.345333,0.00143826,0.344786,0.00134606,0.00407308
0.342996,0.00174551,0.3422,0.00145355,-0.00279183
0.340403,0.00208811,0.339677,0.00159267,-0.0196827
0.337848,0.00252839,0.337081,0.00169142,-0.00623935
0.335449,0.00297183,0.334573,0.00184622,-0.00919603
0.332563,0.00330154,0.331996,0.00191991,-0.00561408
0.330586,0.00372952,0.32959,0.0021615,-0.0162968
0.328216,0.00376916,0.327169,0.00232425,-0.00533855
0.325981,0.0040947,0.324815,0.00238431,-0.00594979
0.323364,0.00433159,0.322456,0.00257055,0.00179382
0.321144,0.00478141,0.320128,0.00275106,0.0159614
0.318919,0.00508488,0.317739,0.00276201,0.00202846
0.31719,0.00522159,0.315317,0.00270568,-0.00737575
0.314994,0.00539205,0.312987,0.00281602,-0.0179734
0.312354,0.00555221,0.310676,0.00301201,-0.0114117
0.310135,0.00505178,0.308423,0.0030053,-0.00760471
0.307802,0.00521759,0.306049,0.00312111,0.00845445
0.305149,0.00535189,0.303575,0.00308979,0.0143939
0.303237,0.00538066,0.301264,0.00330459,-0.00115329
0.30109,0.00520229,0.299047,0.0032898,0.00294674
0.299287,0.00504153,0.296707,0.00344871,0.0028227
0.296874,0.00524118,0.294605,0.00345694,-0.0059792
0.294492,0.00532895,0.292383,0.00331846,-0.00195208
0.292058,0.00524164,0.290232,0.0034039,0.00112073
0.289973,0.0053333,0.28824,0.00349502,0.00954812
0.288011,0.00540037,0.286065,0.00347051,0.012394
0.285792,0.00528249,0.283969,0.00366771,0.0178884
0.28356,0.00502356,0.281761,0.00355322,0.0223448
0.281392,0.00512475,0.279745,0.00359211,0.0134916
0.27915,0.004804,0.277787,0.00376181,0.00433234
0.276905,0.00462957,0.275616,0.00365825,-0.00248234
0.275104,0.00447376,0.273724,0.00370869,0.00378636
0.272808,0.00449169,0.271544,0.0036512,-0.00486579
0.270729,0.00442325,0.26955,0.0038924,-0.00824087
0.268883,0.00430491,0.267679,0.00392455,-0.0112895
0.266898,0.00418973,0.265566,0.00395254,-0.00549096
0.265133,0.00378879,0.263627,0.00387003,-0.00722791
0.262653,0.0037683,0.261743,0.00408439,-0.0331738
0.260765,0.00376235,0.259938,0.0040656,-0.0341295
0.258503,0.00362767,0.257768,0.00395232,-0.00454564
0.256433,0.00359706,0.255591,0.00384024,-0.00834794
0.254708,0.00349368,0.253684,0.00390809,0.0067998
0.252732,0.00381637,0.251838,0.0040038,-0.000443436
0.250959,0.00390909,0.249869,0.00396465,0.00402434
0.248971,0.00406301,0.248139,0.00409162,0.0095886
0.247167,0.0041071,0.246254,0.00406634,0.0106406
0.24574,0.00422916,0.244484,0.0041902,-0.00618576
0.243859,0.00443893,0.242784,0.00418772,-0.00453365
0.241872,0.00450329,0.241113,0.00429833,-0.0219167
0.240052,0.00431557,0.239393,0.00422804,-0.0100381
0.238199,0.00432187,0.23754,0.00423441,0.00114174
0.236499,0.00423389,0.235654,0.00431455,-0.00769702
0.234572,0.00431673,0.233785,0.00446161,-0.0140733
0.232875,0.00419824,0.231787,0.00457482,-0.0107384
0.231002,0.00420462,0.230088,0.00439767,-0.0191463
0.228972,0.00435679,0.228479,0.00442294,-0.0119918
0.227378,0.00456692,0.226593,0.00450139,-0.0165536
0.225619,0.00450983,0.224776,0.00455944,-0.0225168
0.223782,0.00443449,0.222874,0.00455525,-0.0124148
0.22211,0.00452263,0.221137,0.0045924,-0.0146871
0.220583,0.00466883,0.219592,0.00475109,-0.00930119
0.218814,0.00494126,0.21803,0.00467364,-0.00699921
0.217275,0.00488014,0.216298,0.00492959,0.00999687
0.216049,0.0042617,0.214714,0.00464848,-0.000133299
0.21477,0.00440543,0.213105,0.00468819,0.0092046
0.212791,0.00442049,0.211385,0.0047711,-0.0119035
0.211165,0.00471707,0.209697,0.00460862,-0.0416435
0.209645,0.00463373,0.208088,0.0047932,-0.0126452
0.207939,0.00484855,0.206388,0.0048459,-0.025487
0.206804,0.00466796,0.205217,0.00475284,-0.0276816
0.204995,0.00444955,0.203897,0.00478828,-0.012852
0.203856,0.00448657,0.202228,0.0048713,-0.00872369
0.202129,0.00495008,0.200961,0.0050087,0.00138378
0.200961,0.00526439,0.199378,0.00504388,-0.00226127
0.19957,0.00510417,0.198026,0.00499648,0.000778533
0.198126,0.00511715,0.196654,0.0047947,0.00848371
0.196487,0.00510955,0.195224,0.00507987,0.0206876
0.19501,0.00519822,0.193841,0.00505436,0.0117071
0.193357,0.00557444,0.192262,0.00497958,0.0255316
0.191697,0.00571491,0.190765,0.00500462,0.00724725
0.189964,0.00538258,0.189605,0.00507574,0.00315293
0.188708,0.00503525,0.188365,0.00501887,0.00436835
0.18737,0.00526382,0.187284,0.0050795,-0.00666227
0.186215,0.00513585,0.185829,0.00500844,-0.000745054
0.185028,0.00497806,0.184558,0.00493754,0.0100385
0.183439,0.00508701,0.183448,0.00483102,0.00294558
0.181724,0.00510938,0.182175,0.00486632,0.0245505
0.180571,0.00544398,0.181004,0.00473441,0.0127475
0.1789,0.00564466,0.17984,0.00479452,0.00667186
0.177406,0.00593371,0.17836,0.00463428,0.0139882
0.17613,0.00600486,0.176975,0.00479807,-0.00390958
0.175042,0.00607834,0.175546,0.00473628,-0.0138703
0.173873,0.00638764,0.174292,0.00460652,-0.00536363
0.172879,0.00683566,0.17307,0.00466652,0.00730688
0.171434,0.00702969,0.171694,0.00475146,-0.0227363
0.170383,0.00698046,0.170592,0.00463823,-0.0160507
0.168685,0.00635117,0.169338,0.00456264,-0.00809432
0.167362,0.00630324,0.168038,0.00460657,-0.0224326
0.165481,0.00653868,0.166753,0.00469524,-0.0274189
0.164157,0.0063107,0.16506,0.00467986,-0.0209384
0.162696,0.00643595,0.163744,0.00478599,-0.039967
0.161403,0.00657684,0.162442,0.00479653,-0.0201054
0.160092,0.00637693,0.161331,0.00483375,-0.0291586
0.158728,0.00638764,0.160059,0.00489872,-0.0176172
0.157629,0.00659578,0.158908,0.00488791,-0.0217444
0.156703,0.00663508,0.157478,0.00484917,-0.00978535
0.155449,0.00653961,0.156239,0.00510379,-0.0114497
0.1542,0.00628153,0.155001,0.00500681,-0.0148061
0.15295,0.00630637,0.153672,0.00492723,-0.00977838
0.151571,0.00660965,0.15253,0.00510108,0.000759291
0.150632,0.00651011,0.151275,0.0050328,-0.0124507
0.149516,0.00672509,0.149966,0.00515031,-0.00647923
0.148232,0.00644186,0.148836,0.00523271,-0.0169443
0.146915,0.00645298,0.147571,0.00532268,-0.0379368
0.14589,0.00654681,0.146499,0.00557337,-0.0290593
0.1448,0.00627023,0.145304,0.00550534,0.000380305
0.143439,0.00629515,0.143909,0.00577291,0.00304701
0.142431,0.00624311,0.142672,0.00592448,0.0052896
0.141239,0.00625091,0.14201,0.00588655,-0.00281399
0.140393,0.00628203,0.141127,0.00580508,0.0120356
0.139438,0.00604431,0.139981,0.00593882,-0.000629818
0.138239,0.00606675,0.138944,0.00587664,-0.00598085
0.137261,0.00596294,0.138119,0.00574601,0.00909315
0.136647,0.00625597,0.136945,0.0058103,-0.00711548
0.135904,0.00602825,0.136245,0.00576717,0.00657329
0.134738,0.00586155,0.135385,0.00576547,0.00962215
0.133726,0.00591392,0.134209,0.00576654,-0.002526
0.132439,0.00604353,0.133451,0.00548941,0.0199918
0.131252,0.00583444,0.132413,0.0055051,0.000100362
0.130454,0.00582182,0.131334,0.00521687,0.00407607
0.129431,0.00585461,0.130261,0.00511156,0.00182495
0.128485,0.0056927,0.129187,0.00550273,-0.00579582
0.127751,0.00566478,0.128146,0.00565181,-0.0122836
0.126703,0.00553751,0.127105,0.00576014,0.00443329
0.125489,0.00523051,0.126075,0.00565921,-0.00614513
0.124543,0.00520903,0.124765,0.00593619,-0.0219985
0.123572,0.00501462,0.123581,0.00615133,-0.0178071
0.122837,0.00485073,0.122753,0.00633495,-0.0169149
0.121881,0.00498447,0.122,0.00598678,-0.00504857
0.120799,0.00503396,0.12128,0.00553521,-0.015117
0.119742,0.00508183,0.120308,0.00555614,0.00987634
