smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
0.384389,1.66617e-15,0.384389,1.66617e-15,0.0171407
0.37206,0.00475129,0.369826,0.000537705,0.00259957
0.359803,0.00922982,0.35584,0.00120849,0.0157893
0.348303,0.0133936,0.342337,0.00127695,0.0211617
0.336818,0.0174885,0.329336,0.00162563,0.00468554
0.326274,0.021519,0.316823,0.00197522,0.00407308
0.315908,0.0252757,0.304806,0.00229018,-0.00279183
0.305874,0.0289888,0.293295,0.00357996,-0.0196827
0.296073,0.0325669,0.282105,0.00288472,-0.00623935
0.286919,0.0358774,0.271379,0.0031698,-0.00919603
0.278085,0.0387922,0.261242,0.00474548,-0.00561408
0.269571,0.0416787,0.251363,0.00484912,-0.0162968
0.261373,0.0445482,0.241783,0.00390412,-0.00533855
0.253557,0.0473538,0.232786,0.00578136,-0.00594979
0.245878,0.049705,0.22387,0.00434607,0.00179382
0.238609,0.0520485,0.215638,0.00774424,0.0159614
0.231717,0.0543587,0.207197,0.00475128,0.00202846
0.225004,0.0565084,0.199356,0.00493778,-0.00737575
0.218324,0.058713,0.192,0.00716122,-0.0179734
0.212064,0.0606927,0.18473,0.00740401,-0.0114117
0.205884,0.0627188,0.177923,0.00933482,-0.00760471
0.199951,0.0645905,0.171327,0.0107131,0.00845445
0.194174,0.0665704,0.164849,0.0103397,0.0143939
0.188548,0.068346,0.158663,0.0107046,-0.00115329
0.183045,0.0698569,0.152466,0.00888697,0.00294674
0.177871,0.071433,0.146858,0.00984327,0.0028227
0.173113,0.0728097,0.141323,0.00967633,-0.0059792
0.168183,0.0742793,0.136618,0.0142524,-0.00195208
0.163587,0.0754354,0.130662,0.00855952,0.00112073
0.158989,0.0764627,0.125686,0.00926353,0.00954812
0.154826,0.0776148,0.121313,0.0128792,0.012394
0.150621,0.0787691,0.117308,0.0165558,0.0178884
0.144827,0.075598,0.112684,0.0147281,0.0223448
0.139251,0.0728172,0.108058,0.0118115,0.0134916
0.133838,0.0699554,0.103461,0.0060451,0.00433234
0.128677,0.067294,0.099698,0.00815015,-0.00248234
0.123526,0.0645029,0.0962698,0.0109873,0.00378636
0.118678,0.0621656,0.092952,0.0129173,-0.00486579
0.114373,0.05993,0.0896068,0.0134176,-0.00824087
0.109878,0.0577965,0.0864903,0.0145916,-0.0112895
0.105522,0.0554661,0.082493,0.00943732,-0.00549096
0.101519,0.0534092,0.0793633,0.00910052,-0.00722791
0.0976962,0.0513237,0.076475,0.00976084,-0.0331738
0.0941321,0.0495041,0.0732295,0.00732168,-0.0341295
0.0907345,0.0477327,0.0708083,0.00990691,-0.00454564
0.0873183,0.045662,0.0679433,0.00874386,-0.00834794
0.0840917,0.0437266,0.0656344,0.00988386,0.0067998
0.0809675,0.0421259,0.0632359,0.0101545,-0.000443436
0.0781523,0.0406478,0.0610871,0.0108898,0.00402434
0.0752243,0.0388981,0.0585834,0.00936624,0.0095886
0.0723735,0.0374774,0.0564419,0.00959538,0.0106406
0.0694823,0.0361095,0.0540062,0.00755772,-0.00618576
0.0667373,0.0349685,0.0521007,0.00783861,-0.00453365
0.0639856,0.0335114,0.0499244,0.00640334,-0.0219167
0.0615646,0.0319962,0.0477449,0.00402262,-0.0100381
0.0591415,0.0306123,0.0459221,0.00385648,0.00114174
0.0571349,0.0296217,0.0443509,0.00449509,-0.00769702
0.0549564,0.0281827,0.042638,0.00431046,-0.0140733
0.0529745,0.0271728,0.0411484,0.00531338,-0.0107384
0.050836,0.0262156,0.0396639,0.00560154,-0.0191463
0.0489065,0.0251684,0.0381489,0.00540414,-0.0119918
0.0471305,0.024148,0.0366863,0.0052146,-0.0165536
0.0452032,0.0231582,0.0356807,0.0069762,-0.0225168
0.0436866,0.0223971,0.0345709,0.00770717,-0.0124148
0.0419407,0.0214935,0.0334818,0.00802021,-0.0146871
0.0403931,0.020642,0.0324368,0.0086141,-0.00930119
0.0389678,0.0201805,0.0311895,0.00824347,-0.00699921
0.0375413,0.0194904,0.0298588,0.00760108,0.00999687
0.0362957,0.0188738,0.0289319,0.00794948,-0.000133299
0.0348904,0.0182321,0.0279594,0.00816393,0.0092046
0.0337506,0.0177666,0.0267889,0.00748484,-0.0119035
0.0323146,0.0170072,0.0258368,0.00735082,-0.0416435
0.0312417,0.016136,0.0251472,0.0078885,-0.0126452
0.0302054,0.0156957,0.0244368,0.00818522,-0.025487
0.0290968,0.0149466,0.0234602,0.00772988,-0.0276816
0.0281479,0.0142181,0.0226348,0.00753024,-0.012852
0.0269754,0.0135236,0.021943,0.00760542,-0.00872369
0.0259536,0.0129776,0.021562,0.00825259,0.00138378
0.0248846,0.0125399,0.0208216,0.00811518,-0.00226127
0.0239116,0.0121299,0.0204049,0.00849335,0.000778533
0.0230686,0.0116249,0.0198881,0.00851654,0.00848371
0.0222196,0.0112039,0.0189567,0.00799588,0.0206876
0.0214121,0.0108468,0.018565,0.00822208,0.0117071
0.0205034,0.0104644,0.0179494,0.00803288,0.0255316
0.0197051,0.0101426,0.017384,0.00784228,0.00724725
0.0190922,0.00986595,0.0170775,0.00805562,0.00315293
0.0183497,0.00946039,0.0163742,0.00771341,0.00436835
0.0177349,0.00905202,0.0153472,0.00673374,-0.00666227
0.0168546,0.00872792,0.0146795,0.00640999,-0.000745054
0.0161668,0.00828807,0.0139188,0.00580664,0.0100385
0.0155182,0.00785458,0.0131733,0.0052805,0.00294558
0.0149414,0.00769427,0.0126166,0.00510163,0.0245505
0.0143165,0.00728566,0.0120033,0.00470382,0.0127475
0.0137633,0.00706668,0.0114212,0.00458331,0.00667186
0.0133974,0.00702981,0.0109633,0.00429956,0.0139882
0.0127925,0.00694867,0.0103217,0.00361811,-0.00390958
0.0122115,0.00662415,0.00977221,0.00304978,-0.0138703
0.0118679,0.00645654,0.00951347,0.00320137,-0.00536363
0.0113669,0.00601667,0.00928836,0.003206,0.00730688
