smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
0.0462965,7.15064e-16,0.0462965,7.15064e-16,0.0171407
0.0352801,7.15064e-16,0.0187938,0.00125842,0.00259957
0.0327164,1.87444e-16,0.0075964,0.00107678,0.0157893
0.0556672,5.62332e-16,0.00305968,0.00182601,0.0211617
0.112274,7.08121e-16,0.00133257,0.00358994,0.00468554
-0.0219748,3.05464e-16,0.000410981,0.00175726,0.00407308
-0.0287135,4.51254e-16,-0.000131332,0.00243951,-0.00279183
0.000697269,8.02711e-18,-0.000276675,0.00159223,-0.0196827
-0.0564719,6.24813e-17,-0.00067176,0.00330981,-0.00623935
0.0655202,1.02747e-15,-0.000247386,0.00505653,-0.00919603
0.0395917,4.92908e-16,3.37896e-05,0.00326741,-0.00561408
0.197595,1.6384e-15,0.000653949,0.0109137,-0.0162968
0.00761202,9.89287e-17,0.000163729,0.00369831,-0.00533855
-0.00392663,0.00443332,-6.28095e-05,0.0014214,-0.00594979
0.000929757,0.0064703,2.63928e-05,0.00191139,0.00179382
0.000777049,0.00299317,0.00020675,0.00184148,0.0159614
0.000272675,0.00161055,0.000141756,0.00111753,0.00202846
4.57762e-05,0.00113268,6.98158e-05,0.000859164,-0.00737575
2.30877e-05,0.000439741,3.89715e-05,0.000757302,-0.0179734
0.00016725,0.000969653,3.95737e-05,0.000808761,-0.0114117
-4.52633e-05,0.00200812,3.39604e-05,0.00100112,-0.00760471
-0.000513997,0.00404974,-0.000101331,0.00179064,0.00845445
0.0010327,0.00737637,8.29509e-05,0.00261017,0.0143939
-7.90461e-05,0.00111304,3.20015e-06,0.00107077,-0.00115329
0.000156839,0.00148703,-4.7571e-05,0.000975781,0.00294674
-3.21744e-05,0.000845048,-7.94241e-06,0.000820524,0.0028227
-8.26395e-05,0.00178217,5.31686e-06,0.000861329,-0.0059792
-0.000514762,0.0033978,-2.2776e-05,0.00135249,-0.00195208
-0.000690314,0.00237264,-4.99757e-05,0.000986943,0.00112073
0.000115373,0.00224313,1.02227e-05,0.0010473,0.00954812
0.00031868,0.00262649,4.34638e-05,0.00118152,0.012394
-0.000159818,0.00290598,3.35732e-05,0.00101497,0.0178884
0.000683663,0.0017004,9.71971e-05,0.00088097,0.0223448
0.000211439,0.000932224,7.57544e-05,0.000785339,0.0134916
-1.62269e-05,0.000706398,-2.93838e-05,0.00075063,0.00433234
0.000359733,0.00376084,5.63709e-05,0.0011375,-0.00248234
0.000289329,0.00164406,4.29123e-05,0.000880528,0.00378636
-7.12839e-07,0.0019266,-0.00010296,0.00112673,-0.00486579
0.000573743,0.000698635,-1.46893e-05,0.000786443,-0.00824087
-0.000262615,0.00566719,-2.21987e-05,0.00152257,-0.0112895
-0.000499785,0.00580862,-9.94212e-05,0.00247396,-0.00549096
0.00065096,0.00146948,-1.94008e-05,0.00120419,-0.00722791
0.000503803,0.00219542,5.70521e-06,0.000954861,-0.0331738
0.000288524,0.00209339,2.02409e-05,0.000987338,-0.0341295
-0.000201517,0.000716213,3.63906e-05,0.000808164,-0.00454564
0.000530585,0.00258807,4.43284e-05,0.00143212,-0.00834794
-0.000682015,0.00419648,-2.67536e-05,0.00128973,0.0067998
0.000329371,0.00418511,6.91366e-05,0.00186088,-0.000443436
0.000309863,0.00303843,1.35159e-05,0.00123909,0.00402434
-0.00071233,0.00444172,-4.11325e-05,0.00130822,0.0095886
-0.000977089,0.00672469,-0.000154928,0.00286374,0.0106406
-0.00059004,0.00434789,-6.42834e-05,0.00167205,-0.00618576
-0.000382713,0.00373844,-4.27982e-05,0.00150196,-0.00453365
-3.71522e-06,0.00108001,-0.000101417,0.00101024,-0.0219167
0.000408628,0.000921179,-5.66712e-05,0.000849282,-0.0100381
0.000624525,0.00456905,5.00311e-05,0.00171251,0.00114174
8.63212e-05,0.00255862,0.000116821,0.0012751,-0.00769702
0.000807636,0.00588208,0.000116077,0.00212563,-0.0140733
0.000132109,0.00102155,-4.37099e-07,0.00113849,-0.0107384
-0.00024547,0.000913488,4.58551e-05,0.000829241,-0.0191463
-0.000255467,0.00230214,2.34247e-06,0.000915121,-0.0119918
-0.000351208,0.000876789,2.12483e-05,0.000803713,-0.0165536
-7.8417e-05,0.000896613,5.78248e-05,0.00077386,-0.0225168
-6.21379e-05,0.00221371,0.000106153,0.00110921,-0.0124148
-0.000387404,0.00145914,5.67992e-05,0.000867248,-0.0146871
-0.000840502,0.00492376,-0.000127359,0.00215162,-0.00930119
-0.000781616,0.00531382,-0.000106131,0.00191823,-0.00699921
0.000999399,0.0039836,4.73535e-05,0.00153817,0.00999687
0.000448508,0.000781741,5.7429e-06,0.000751917,-0.000133299
-0.000236215,0.00300731,-3.64057e-05,0.00122571,0.0092046
0.000471371,0.00391357,2.40078e-05,0.00175712,-0.0119035
0.00066921,0.00665019,8.5518e-05,0.00233998,-0.0416435
0.000722666,0.00280164,4.11839e-05,0.00149334,-0.0126452
0.000872346,0.00453374,0.000138337,0.00175718,-0.025487
0.000952028,0.00340059,4.43182e-05,0.00120953,-0.0276816
0.000211161,0.000854311,4.73969e-06,0.000732896,-0.012852
-2.63264e-05,0.00168553,1.71176e-05,0.000868369,-0.00872369
-0.00117567,0.00637536,-0.000155768,0.00227633,0.00138378
0.000141064,0.00115611,-8.42325e-06,0.000795274,-0.00226127
-0.00030067,0.000913999,1.60607e-05,0.000761034,0.000778533
0.000307013,0.00535202,3.43555e-05,0.00147019,0.00848371
-0.000691587,0.000760465,-6.63327e-05,0.000789343,0.0206876
-0.000808159,0.00119137,-4.96627e-05,0.000862627,0.0117071
0.0001283,0.00192981,2.80746e-05,0.000962059,0.0255316
-0.00117048,0.00747146,-0.000138164,0.00316656,0.00724725
-0.00119166,0.00789265,-0.000192468,0.00345878,0.00315293
-0.000198919,0.00234413,-2.55595e-06,0.00158223,0.00436835
