smooth_mean, smooth_sdev, filter_mean, filter_sdev, x
-0.0159171,1.83973e-16,-0.0159171,1.83973e-16,0.0205427
-0.0071927,1.05871e-16,-0.0071927,1.05871e-16,0.00484101
-0.00283013,3.86169e-17,-0.00283013,3.86169e-17,0.0139068
-0.00270016,1.12813e-17,-0.00270016,1.12813e-17,-0.0040537
-0.000696409,1.30169e-18,-0.000696409,1.30169e-18,-0.00563336
-0.00106389,1.23661e-17,-0.00106389,1.23661e-17,-0.0144366
-0.000316322,2.54915e-18,-0.000316322,2.54915e-18,-0.0174027
0.000540253,7.37626e-18,0.000540253,7.37626e-18,-0.00243902
-0.722424,1.25518e-14,-0.722424,1.25518e-14,0.00276047
-0.252258,0.121855,-0.182392,0.0415919,0.00607168
-0.10701,0.130579,-0.0457977,0.0417403,0.0129179
-0.0740605,0.0803399,-0.011771,0.0420963,0.0180259
-0.0252336,0.0612553,-0.00223299,0.0397496,-0.000599232
-0.0151882,0.0402257,-0.00489873,0.0423699,0.010306
-0.00461279,0.0362247,-0.00154779,0.0402552,0.00840098
0.00389517,0.0380229,-9.18811e-06,0.037759,-0.00485912
-0.0205857,0.038103,-0.00115438,0.0392078,-0.000816411
0.0178771,0.0390856,0.00217906,0.0403706,-0.00548861
0.00695808,0.0403622,-0.00163013,0.0410804,-0.00751744
0.00596684,0.0318457,0.00205224,0.0409683,-0.00183657
0.0430462,0.0279416,0.00126205,0.0400154,0.000672303
0.0270493,0.041322,-0.00184708,0.0407465,0.00269851
0.032515,0.024817,0.00112772,0.0398603,0.0101171
0.0094587,0.0350995,-0.00167763,0.041443,0.0010311
0.0226235,0.0337902,0.000970106,0.0404585,-0.00963108
-0.0238872,0.0458456,-0.00230332,0.0391475,-0.00816763
-0.00528805,0.0405804,-0.00138904,0.0399758,-0.0236149
-0.01263,0.0465406,-0.000597896,0.0382952,-0.0112052
0.00676264,0.0310424,0.000122578,0.040504,-0.0154869
0.0174699,0.0248897,8.28181e-05,0.0397154,-0.00491896
0.00648159,0.0425556,0.00413809,0.0402868,-0.00531722
0.0124451,0.0462411,0.00085459,0.0379964,-0.0234281
-0.00980241,0.0400782,-0.000874354,0.044803,-0.00734165
-0.0154505,0.0323656,-0.00178091,0.0390356,-0.00366733
0.00748896,0.065765,-0.00187612,0.0384937,-0.0113691
0.00358399,0.0374627,-0.0021615,0.0388281,-0.0230119
-0.00699427,0.0475916,-0.00310934,0.0408062,-0.0287863
0.00398144,0.0522762,-0.000686272,0.0417066,-0.0253326
-0.0175486,0.0396321,0.00288164,0.0409692,-0.012535
