 0.0101120743 -0.0505122366  0.0171728150 -0.0098119750 -0.0113436733 -0.0005452439 -0.0656330290 -0.0537271849  0.0012227185  0.0045073154
-0.0175461864  0.0101120743  0.0133714578 -0.0105451639 -0.0008478464 -0.0029456135 -0.0756268488 -0.0407213229 -0.0000778677  0.0051401029
 0.0688719114 -0.0175461864  0.0210496131 -0.0087346708 -0.0284743062  0.0022982403 -0.0475313255 -0.0660024647  0.0024502465  0.0032357971
-0.0731644211  0.0688719114  0.0073386303 -0.0118320157  0.0182129373 -0.0069029668 -0.0944456385 -0.0204505685 -0.0021049431  0.0063785560
-0.0863495299 -0.0731644211  0.0084957497 -0.0116739414  0.0162876079 -0.0062504299 -0.0929660941 -0.0246048231 -0.0016895177  0.0063096387
 0.0250812611 -0.0863495299  0.0187029043 -0.0094061725 -0.0177267322  0.0005537547 -0.0589539483 -0.0586301347  0.0017130135  0.0040423086
-0.0101906956  0.0250812611  0.0123898699 -0.0104425050 -0.0038312821 -0.0032150581 -0.0711998605 -0.0364869948 -0.0005013005  0.0047487335
-0.0159037540 -0.0101906956  0.0127384101 -0.0104520262 -0.0032970785 -0.0030870674 -0.0721254496 -0.0379097192 -0.0003590281  0.0048365318
 0.0734537176 -0.0159037540  0.0217055119 -0.0086479119 -0.0295102065  0.0026647105 -0.0467609089 -0.0683657831  0.0026865783  0.0032021349
-0.0432021214  0.0734537176  0.0099779218 -0.0112463754  0.0094322423 -0.0051444818 -0.0856688534 -0.0292508134 -0.0012249187  0.0057936976
 0.0602457825 -0.0432021214  0.0202782646 -0.0088310082 -0.0273670762  0.0018740961 -0.0483007251 -0.0632060831  0.0021706083  0.0032645684
 0.0956792038  0.0602457825  0.0223424875 -0.0084295280 -0.0331317168  0.0031815614 -0.0427936466 -0.0702585341  0.0028758534  0.0029146007
-0.0134319142  0.0956792038  0.0116323533 -0.0107169698  0.0007632640 -0.0038474224 -0.0762719814 -0.0342803225 -0.0007219677  0.0051187132
 0.0198526652 -0.0134319142  0.0159010199 -0.0097272730 -0.0142671556 -0.0009523197 -0.0610565930 -0.0483858989  0.0006885899  0.0040920228
 0.0024936240  0.0198526652  0.0133079062 -0.0101732923 -0.0081628933 -0.0025247883 -0.0665748283 -0.0393515017 -0.0002148498  0.0044208367
-0.0346669542  0.0024936240  0.0117960193 -0.0108649563  0.0038126667 -0.0039595398 -0.0801509892 -0.0353789460 -0.0006121054  0.0054326208
-0.0283436574 -0.0346669542  0.0129856924 -0.0106281421  0.0003844636 -0.0031994936 -0.0768467956 -0.0394271961 -0.0002072804  0.0052206085
